Organization,Description,Year
Liquid Galaxy Project,Liquid Galaxy Project: wraparound open-source immersion!,2016
lowRISC,Creating a fully open-source SoC design,2016
MariaDB,One of the most popular databases on the web with many notable users,2016
Matrix.org,"An ambitious opensource project creating a new, decentralised comms ecosystem.",2016
"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano",MBDyn is a multidisciplinary Multibody Dynamics scientific simulation software.,2016
McGill Space Institute,Center bringing together scientists doing space-related research at McGill,2016
MetaBrainz Foundation,We curate data and make it freely available!,2016
Mifos Initiative,End Poverty One Line of Code at a Time,2016
MIT Media Lab,Build Your own Android Apps!,2016
Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!",2016
mlpack: a scalable C++ machine learning library,a scalable C++ machine learning library,2016
Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,2016
ModSecurity,ModSecurity cross platform web application firewall,2016
Moodle,The world's open source learning platform,2016
MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,2016
Mozilla,We're building a better Internet,2016
MuseScore,"MuseScore: Create, play and print beautiful sheet music",2016
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,2016
Netfilter project,Netfilter project,2016
Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,2016
NumFOCUS,NumFOCUS promotes open source scientific software.,2016
Open Bioinformatics Foundation,Supporting OSS and Open Science in the biological research community.,2016
Open Chemistry,Open source chemistry software libraries and tools,2016
Open Detection,Open Detection is a open source project for object detection and recognition.,2016
Open Ephys,Open-source electrophysiology,2016
Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,2016
Open Source Robotics Foundation,"Open source software for use in robotics research, education, and industry.",2016
OpenAstronomy,Confederation of open source projects in Astronomy,2016
OpenCV,Open Source Computer Vision and Machine Learning Library,2016
OpenKeychain (OpenPGP for Android),OpenKeychain: Easy PGP for Android,2016
OpenMRS,Write code. Save lives.,2016
OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,2016
openSUSE,"openSUSE Linux - The makers' choice for sysadmins, developers and desktop users",2016
Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,2016
Orange – Data Mining Fruitful & Fun,"A cross-platform, visual-programming tool for data mining and visualization.",2016
OSGeo - The Open Source Geospatial Foundation,The Open Source Geospatial Foundation,2016
OSU Open Source Lab,OSU Open Source Lab,2016
OWASP Foundation,"OWASP, The Open Web Application Security Project.",2016
ownCloud,A safe home for all your data,2016
P2PSP.org,Shaping the future Internet TV,2016
Peragro,Digital Assets Managed Neatly,2016
Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,2016
Physical Web Project,The Physical Web Project develops use cases around Google's the Physical Web IoT,2016
